Timestamp,Speed (knots),Altitude (feet),Course (degrees),Pitch (degrees),Bank (degrees),Latitude,Longitude,Source,GPSModelName,FlightTitle
2024-08-23T22:51:27.72Z,75.42,2898.29,60.65,6.62,57.39,33.328292,-86.855164,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:28.72Z,82.53,2913.39,63.23,6.18,56.12,33.328464,-86.854756,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:29.72Z,79.00,2933.40,61.93,8.54,56.72,33.328636,-86.854370,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:30.72Z,73.46,2948.49,63.81,6.94,59.36,33.328786,-86.854005,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:31.72Z,78.78,2968.50,69.27,8.56,59.67,33.328915,-86.853597,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:32.72Z,73.46,2988.52,63.81,9.17,59.36,33.329065,-86.853232,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:33.72Z,75.08,3003.28,68.20,6.65,60.48,33.329194,-86.852846,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:34.72Z,71.49,3023.29,67.23,9.42,61.32,33.329322,-86.852481,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:35.72Z,73.39,3038.39,63.60,6.95,59.30,33.329473,-86.852117,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:36.72Z,73.46,3058.40,63.81,9.17,59.36,33.329623,-86.851752,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:37.72Z,70.08,3073.49,62.44,7.27,60.00,33.329773,-86.851408,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:38.72Z,73.30,3083.33,63.75,4.55,59.40,33.329923,-86.851044,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:39.72Z,70.08,3098.43,62.44,7.27,60.00,33.330073,-86.850700,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:40.72Z,74.68,3113.52,56.04,6.83,55.57,33.330266,-86.850357,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:41.72Z,70.02,3128.28,62.22,7.12,59.93,33.330417,-86.850014,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:42.72Z,70.08,3138.45,62.44,4.91,60.00,33.330567,-86.849670,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:43.72Z,75.08,3143.37,68.20,2.22,60.48,33.330696,-86.849284,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:44.72Z,73.44,3153.54,71.65,4.69,62.19,33.330803,-86.848898,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:45.72Z,71.07,3158.46,78.78,2.35,65.10,33.330867,-86.848512,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:46.72Z,74.27,3158.46,82.81,0.00,65.23,33.330910,-86.848104,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:47.72Z,73.83,3163.39,86.31,2.26,66.25,33.330932,-86.847696,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:48.72Z,77.47,3163.39,90.00,0.00,66.11,33.330932,-86.847267,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:49.72Z,77.62,3168.31,93.51,2.15,66.88,33.330910,-86.846838,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:50.72Z,78.70,3168.31,100.12,0.00,67.98,33.330846,-86.846409,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:51.72Z,80.85,3168.31,106.62,0.00,68.69,33.330739,-86.845980,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:52.73Z,80.59,3168.31,113.89,0.00,70.00,33.330588,-86.845572,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:53.72Z,85.84,3168.31,115.50,0.00,69.08,33.330417,-86.845143,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:54.72Z,84.67,3168.31,119.52,0.00,69.98,33.330224,-86.844735,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:55.72Z,82.53,3173.56,116.77,2.16,70.02,33.330052,-86.844327,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:56.72Z,84.51,3173.56,119.58,0.00,70.02,33.329859,-86.843920,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:57.72Z,85.93,3178.48,115.63,1.94,69.08,33.329687,-86.843491,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:58.72Z,89.53,3173.56,114.53,-1.87,68.09,33.329515,-86.843040,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:51:59.72Z,85.84,3173.56,115.50,0.00,69.08,33.329344,-86.842611,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:00.72Z,85.93,3168.31,115.63,-2.07,69.08,33.329172,-86.842182,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:01.72Z,87.99,3168.31,118.30,0.00,69.06,33.328979,-86.841753,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:02.72Z,80.50,3168.31,113.75,0.00,69.99,33.328829,-86.841345,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:03.72Z,85.93,3163.39,115.63,-1.94,69.08,33.328657,-86.840916,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:04.72Z,85.93,3158.46,115.63,-1.94,69.08,33.328485,-86.840487,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:05.72Z,80.50,3153.54,113.75,-2.07,69.99,33.328335,-86.840079,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:06.72Z,85.84,3148.29,115.50,-2.08,69.08,33.328164,-86.839650,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:07.72Z,82.53,3143.37,116.77,-2.02,70.02,33.327992,-86.839242,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:08.72Z,83.99,3143.37,112.71,0.00,69.03,33.327842,-86.838813,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:09.72Z,82.53,3138.45,116.77,-2.02,70.02,33.327670,-86.838405,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:10.72Z,80.50,3138.45,113.75,0.00,69.99,33.327520,-86.837997,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:11.73Z,82.37,3133.53,116.83,-2.03,70.06,33.327348,-86.837590,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:12.72Z,80.50,3133.53,113.75,0.00,69.99,33.327198,-86.837182,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:13.72Z,80.50,3133.53,113.75,0.00,69.99,33.327048,-86.836774,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:14.72Z,80.34,3133.53,113.80,0.00,70.04,33.326898,-86.836367,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:15.72Z,80.59,3133.53,113.89,0.00,70.00,33.326747,-86.835959,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:16.72Z,76.88,3138.45,114.94,2.17,71.01,33.326597,-86.835573,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:17.72Z,78.78,3138.45,110.73,0.00,69.90,33.326468,-86.835165,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:18.72Z,76.88,3138.45,114.94,0.00,71.01,33.326318,-86.834779,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:19.72Z,78.71,3143.37,110.58,2.12,69.89,33.326190,-86.834371,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:20.72Z,76.97,3143.37,115.09,0.00,71.01,33.326039,-86.833985,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:21.72Z,75.00,3143.37,111.65,0.00,70.94,33.325911,-86.833599,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:22.72Z,75.25,3143.37,111.75,0.00,70.89,33.325782,-86.833212,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:52:23.72Z,78.62,3138.45,110.77,-2.12,69.94,33.325653,-86.832805,ForeFlight Mobile,Stratux,8AL1 - 41AL
